critico,0,0,0,0,4,0,0,1,1,2,5,4,0,0,1,0,0,0,0,5,1,1,4,3,1,0,2,2,0,0,0,9,0,0,2,0,0,5,1,0,0,3,2,1,1,6,8,0,0,1,1,2,4,0,0,0
libraio,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,5,2,0,1,4,2,10,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,1,0,0,1,3,1,0,0,0
mandriano,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,4,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
custode,0,0,0,0,2,1,1,1,0,30,3,2,1,1,0,12,2,4,50,6,0,1,2,11,5,0,14,4,1,3,0,10,13,6,4,3,0,3,5,1,0,7,4,1,0,0,19,3,2,6,0,0,0,4,0,0
governatore,0,5,1,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,1,0,0,0,6,3,0,29,0,0,0,0,0,0,0,4,34,0,0,35,18,0,0,0,41,0,5,0,27,1,3,15,0,0,0,0,0,0
ama,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,3,2,0,1,0,1,0,0,0,2,0,0,0,1,0,0,2,1,1,0,1,0,0,0,1,1,0,0,0,1
ufficiale,3,31,9,0,1,9,1,0,1,7,0,0,0,0,0,0,0,0,24,10,4,7,0,12,2,15,4,0,0,0,4,8,31,4,31,5,12,0,14,2,0,1,38,0,2,4,35,5,4,14,9,5,0,0,3,4
scalco,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
messo,0,1,0,0,3,0,0,1,0,1,1,4,0,0,0,2,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,2,4,3,13,0,0,8,0,0,0,0,6,0,0,0,5,1,2,0,0,0,0,0,1,0
pizzicagnolo,2,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
venditore,1,0,0,0,0,4,1,1,2,2,1,2,1,0,0,0,4,0,2,1,0,0,1,4,0,3,0,1,0,0,0,8,0,2,2,0,0,1,0,0,0,0,8,0,2,0,3,1,0,0,0,5,0,1,1,0
macellaio,0,1,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
speziale,0,0,0,0,0,72,99,0,1,2,0,0,1,0,0,0,0,0,1,4,1,0,3,0,0,0,0,0,0,3,2,26,0,1,6,0,0,1,1,0,0,0,15,0,0,0,1,6,0,0,1,0,0,0,0,0
garzone,0,4,2,0,0,30,3,1,2,14,0,1,12,4,0,1,1,0,4,3,0,0,0,1,0,1,0,4,0,0,3,9,1,6,11,0,0,11,1,0,0,0,2,0,0,0,1,0,2,2,1,0,0,1,0,1
serva,1,10,0,0,0,10,14,7,9,27,6,5,1,0,0,0,0,0,2,21,7,1,7,36,31,7,2,29,0,8,5,23,5,3,14,1,0,7,7,0,4,17,10,2,3,8,1,35,0,6,0,6,7,0,0,1
farmacista,0,0,0,0,0,4,11,0,0,1,1,4,0,0,0,0,0,0,0,8,2,0,1,0,2,0,1,1,0,1,0,40,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,4,0,0,0,0,0,0,0,0
cerusico,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
